天数,日期,时间,事件类型,事件名称,描述,里程(km),累计里程(km),时长(分钟),平均速度(km/h),油费(元),过路费(元),住宿费(元),餐饮费(元),门票(元),停车费(元),其他费用(元),人均参考(元),总费用(元),路况评分(1-5),驾驶难度,纬度,经度,照片数,标签,坑分类,踩坑提醒,亮点,评分
1,2025-10-01,07:30,departure,早晨出发,早晨从成都出发，天气不错，加满了油，油费420元 #加油 /  / 走成灌高速转都汶高速，路况很好，油耗大概8.2L/百公里，成灌高速过路费65元 #过路 /  / 开始盘山了，弯多弯急，新手司机小心 #路况 /  / 【驾驶测评】 / 🚧 中速区间：国省道/山路为主｜里程 124.9km / 用时 2 小时 35 分钟 /  / 🛣 路况评分：★★★★☆ (4/5) /  / 🏁 驾驶难度：🟢 简单,124.89,0.0,155,48.3,420.0,65.0,0.0,0.0,0.0,0.0,0.0,,485.0,4,简单,30.5728,104.0668,0,"重点,加油,过路,路况",路况坑,开始盘山了，弯多弯急，新手司机小心 #路况,,4
1,2025-10-01,10:15,photo,四姑娘山,到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底 /  / 四姑娘山双桥沟入口，门票+观光车150元/人，推荐大家坐最里面那班车往回走 #攻略 /  / 沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑 /  / 午餐在镇上吃的藏家土火锅，168元/人，味道不错分量足 #午餐 #推荐,0,124.89,165,,0.0,0.0,0.0,318.0,150.0,0.0,0.0,,0.0,,,31.1,102.9,0,"拍照,攻略,避坑,午餐,推荐",拍照坑,沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底 | 四姑娘山双桥沟入口，门票+观光车150元/人，推荐大家坐最里面那班车往回走 #攻略 | 午餐在镇上吃的藏家土火锅，168元/人，味道不错分量足 #午餐 #推荐,
1,2025-10-01,13:10,traffic_jam,堵车,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑 /  / 途中遇到一小段堵车约20分钟，修路单边放行 #堵车 /  / 【驾驶测评】 / 🚧 中速区间：国省道/山路为主｜里程 72.9km / 用时 1 小时 50 分钟 /  / 🛣 路况评分：★☆☆☆☆ (1/5) /  / 🏁 驾驶难度：🟠 困难 /  / 【拥堵报告】 / 堵车约 1 小时 50 分钟，本段平均时速 40 km/h /  / ⚠ 拥堵原因：继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,72.91,130.97,110,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,困难,31.08,102.93,0,"重点,危险,避坑,堵车",路况坑,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,,4
1,2025-10-01,15:15,scenic_stop,下午观景停留,路边看到一个无名观景台，景色绝了停车拍照 #拍照 /  / 📊 设施评分：4/5 /  / ⏱ 停留时长：45 分钟,0,197.8,45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,30.88,102.22,0,"重点,拍照",,,,4
1,2025-10-01,16:10,driving,下午行驶,【驾驶测评】 / 🚧 中速区间：国省道/山路为主｜里程 16.4km / 用时 30 分钟 /  / 🛣 路况评分：★★★☆☆ (3/5) /  / 🏁 驾驶难度：🟡 中等,16.38,201.89,30,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,中等,30.87,102.15,0,重点,,,,4
1,2025-10-01,17:00,hotel_checkin,丹巴甲居藏寨,到达丹巴甲居藏寨，门票50元，民宿老板来接，住的3号楼观景房380元/晚 #住宿 /  / 晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐 /  / 🏨 住宿评分：4/5 /  / 💰 房费 ¥380/晚（性价比评估）,0,214.17,150,,0.0,0.0,380.0,120.0,50.0,0.0,0.0,120.0,0.0,,,30.85,101.93,0,"重点,住宿,避坑,晚餐",餐饮坑,晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐,晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐,4
1,2025-10-01,20:30,photo,拍照打卡,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,0.0,214.17,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0,"推荐,拍照",,,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,
2,2025-10-02,08:00,photo,丹巴甲居藏寨,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,0,214.17,15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,30.85,101.93,0,"拍照,推荐",,,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,
2,2025-10-02,08:30,departure,早晨出发,出发去新都桥，今天要翻好几座山，备上氧气罐 #攻略,0.0,223.15,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0,"重点,攻略",,,,4
2,2025-10-02,08:45,driving,上午行驶,折多山垭口4298米，风大温度低，注意保暖 #路况 /  / 【驾驶测评】 / 🚧 中速区间：国省道/山路为主｜里程 88.0km / 用时 1 小时 57 分钟 /  / 🛣 路况评分：★★★★☆ (4/5) /  / 🏁 驾驶难度：🟢 简单,87.98,232.13,117,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,简单,30.78,101.88,0,"重点,路况",路况坑,折多山垭口4298米，风大温度低，注意保暖 #路况,,4
2,2025-10-02,10:50,scenic_stop,新都桥,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元 /  / 📊 设施评分：4/5 /  / ⏱ 停留时长：30 分钟 /  / 💢 待改进：折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元,0,302.15,30,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,0.0,,,30.06,101.493,0,"重点,避坑",路况坑,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元,,4
2,2025-10-02,11:30,driving,中午行驶,🛣 路况评分：★☆☆☆☆ (1/5) /  / 🏁 驾驶难度：🔴 地狱,0.0,302.15,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,地狱,30.055,101.49,0,重点,,,,4
2,2025-10-02,11:45,lunch,新都桥,到新都桥了，找了家川菜馆午餐，味道正宗人均60元 #午餐,0,302.15,90,,0.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,,,30.05,101.49,0,午餐,,,,
