天数,日期,时间,事件类型,事件名称,描述,里程(km),累计里程(km),时长(分钟),平均速度(km/h),油费,过路费,其他费用,总费用,纬度,经度,照片数,标签,踩坑提醒,亮点,评分
1,2025-10-01,07:30,departure,早晨出发,早晨从成都出发，天气不错，加满了油，油费420元 #加油 /  / 走成灌高速转都汶高速，路况很好，油耗大概8.2L/百公里 /  / 开始盘山了，弯多弯急，新手司机小心 #路况 /  / 【路况速览】 / 📏 本段里程：124.9 公里｜⏱ 预计耗时：2 小时 35 分钟｜🚗 平均车速：48 km/h /  / 【累计里程】 / 已行驶 124.9 公里,124.89,124.89,155,48.3,0.0,0.0,0.0,0.0,30.5728,104.0668,0,"加油,路况",开始盘山了，弯多弯急，新手司机小心 #路况,,
1,2025-10-01,10:15,photo,四姑娘山,到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底 /  / 四姑娘山双桥沟入口，门票+观光车150/人，推荐大家坐最里面那班车往回走 #攻略 /  / 沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑 /  / 午餐在镇上吃的藏家土火锅，168/人，味道不错分量足 #午餐 #推荐 /  / ⏰ 建议停留：2 小时 45 分钟 /  / ✨ 亮点：到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底；四姑娘山双桥沟入口，门票+观光车150/人，推荐大家坐最里面那班车往回走 #攻略；午餐在镇上吃的藏家土火锅，168/人，味道不错分量足 #午餐 #推荐,0,124.89,165,,0.0,0.0,0.0,0.0,31.1,102.9,0,"重点,拍照,攻略,避坑,午餐,推荐",沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底 | 四姑娘山双桥沟入口，门票+观光车150/人，推荐大家坐最里面那班车往回走 #攻略 | 午餐在镇上吃的藏家土火锅，168/人，味道不错分量足 #午餐 #推荐,4
1,2025-10-01,13:10,traffic_jam,堵车,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑 /  / 途中遇到一小段堵车约20分钟，修路单边放行 #堵车 /  / 【路况速览】 / 📏 本段里程：72.9 公里｜⏱ 预计耗时：1 小时 50 分钟｜🚗 平均车速：40 km/h /  / 【累计里程】 / 已行驶 197.8 公里,72.91,197.8,110,39.8,0.0,0.0,0.0,0.0,31.08,102.93,0,"危险,避坑,堵车",继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,,
1,2025-10-01,15:15,scenic_stop,下午观景停留,路边看到一个无名观景台，景色绝了停车拍照 #拍照 /  / ⏰ 建议停留：45 分钟,0,197.8,45,,0.0,0.0,0.0,0.0,30.88,102.22,0,"重点,拍照",,,4
1,2025-10-01,16:10,driving,下午行驶,【路况速览】 / 📏 本段里程：16.4 公里｜⏱ 预计耗时：30 分钟｜🚗 平均车速：33 km/h /  / 【累计里程】 / 已行驶 214.2 公里,16.38,214.17,30,32.8,0.0,0.0,0.0,0.0,30.87,102.15,0,,,,
1,2025-10-01,17:00,hotel_checkin,丹巴甲居藏寨,到达丹巴甲居藏寨，门票50元，民宿老板来接，住的3号楼观景房380/晚 #住宿 /  / 晚餐吃的藏式石板烧，味道一般有点贵，人均120，不推荐 #避坑 #晚餐,0,214.17,150,,0.0,0.0,0.0,0.0,30.85,101.93,0,"重点,住宿,避坑,晚餐",晚餐吃的藏式石板烧，味道一般有点贵，人均120，不推荐 #避坑 #晚餐,晚餐吃的藏式石板烧，味道一般有点贵，人均120，不推荐 #避坑 #晚餐,4
1,2025-10-01,20:30,photo,拍照打卡,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照 /  / ✨ 亮点：夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,0.0,541.84,0,,0.0,0.0,0.0,0.0,,,0,"重点,推荐,拍照",,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,4
2,2025-10-02,08:00,photo,丹巴甲居藏寨,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐 /  / ⏰ 建议停留：15 分钟 /  / ✨ 亮点：早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,0,214.17,15,,0.0,0.0,0.0,0.0,30.85,101.93,0,"重点,拍照,推荐",,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,4
2,2025-10-02,08:30,departure,早晨出发,出发去新都桥，今天要翻好几座山，备上氧气罐 #攻略 /  / 【累计里程】 / 已行驶 541.8 公里,0.0,541.84,0,,0.0,0.0,0.0,0.0,,,0,攻略,,,
2,2025-10-02,08:45,driving,上午行驶,折多山垭口4298米，风大温度低，注意保暖 #路况 /  / 【路况速览】 / 📏 本段里程：88.0 公里｜⏱ 预计耗时：1 小时 57 分钟｜🚗 平均车速：45 km/h /  / 【累计里程】 / 已行驶 302.1 公里,87.98,302.15,117,45.1,0.0,0.0,0.0,0.0,30.78,101.88,0,路况,折多山垭口4298米，风大温度低，注意保暖 #路况,,
