分镜号,天数,时间,段落,场景,画面内容,景别/机位,预计时长(秒),旁白/台词提示,画面参考,BGM氛围,备注
S001,Day 1,开场,当日开篇,车外/车内,2025-10-01 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 1 天，第 1 天｜2025-10-01｜行驶 214.2km｜耗时…,标题卡,激昂 / 清新,开头可放当日最震撼镜头做钩子
S002,Day 1,07:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】07:30 出发，今天的目标是…,,轻快启程,可穿插踩坑提醒字幕
S003,Day 1,07:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】07:30 出发，今天的目标是…,,轻快启程,可穿插踩坑提醒字幕
S004,Day 1,10:15,四姑娘山,幕后,摄影师工作瞬间,中景,10-20,到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底,,轻快鼓点,可穿插踩坑提醒字幕；⭐4 出镜推荐
S005,Day 1,10:15,四姑娘山,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,可穿插踩坑提醒字幕；⭐4 出镜推荐
S006,Day 1,13:10,堵车,车内,导航拥堵界面 + 表情,近景,5-10,【吐槽】堵车了，1 小时 50 分钟原地不动…,,诙谐/停顿,可穿插踩坑提醒字幕
S007,Day 1,13:10,堵车,航拍/高处,车流长镜头,远景,5-10,【吐槽】堵车了，1 小时 50 分钟原地不动…,,诙谐/停顿,可穿插踩坑提醒字幕
S008,Day 1,15:15,下午观景停留,车外,人车合影 / 标志性机位,广角,10-20,【感叹】终于到 下午观景停留，现场比照片还震撼！,,大气磅礴,⭐4 出镜推荐
S009,Day 1,15:15,下午观景停留,手持,景物细节特写,近景/微距,5-10,（环境音）,,大气磅礴,⭐4 出镜推荐
S010,Day 1,16:10,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,
S011,Day 1,16:10,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,
S012,Day 1,17:00,丹巴甲居藏寨,大堂,办理入住 / 门卡,中景,15-25,【口播】给大家看一下今晚落脚的地方,,温暖舒缓,可穿插踩坑提醒字幕；⭐4 出镜推荐
S013,Day 1,17:00,丹巴甲居藏寨,房间,一镜到底 Room Tour,手持,15-25,【口播】给大家看一下今晚落脚的地方,,温暖舒缓,可穿插踩坑提醒字幕；⭐4 出镜推荐
S014,Day 1,20:30,拍照打卡,幕后,摄影师工作瞬间,中景,10-20,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,,轻快鼓点,⭐4 出镜推荐
