分镜号,天数,时间,段落,场景,画面内容,景别/机位,预计时长(秒),旁白/台词提示,画面参考,BGM氛围,累计里程,费用提示,路况/评分,踩坑提醒,拍摄重点/备注
S001,Day 1,开场,当日开篇,车外/车内,2025-10-01 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 1 天，第 1 天｜2025-10-01｜全程 214.2km｜发现 4 处提醒｜拥堵 …，今日需注意 4 处坑点,标题卡,激昂 / 清新,,,,,开头可放当日最震撼镜头做钩子
S002,Day 1,07:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】07:30 出发，今天的目标是…,,轻快启程 · 加旁白警示,,油费¥420；过路¥65,均速48km/h｜路况4/5｜难度简单,开始盘山了，弯多弯急，新手司机小心 #路况,可穿插踩坑提醒字幕
S003,Day 1,07:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】07:30 出发，今天的目标是…,,轻快启程 · 加旁白警示,,油费¥420；过路¥65,均速48km/h｜路况4/5｜难度简单,开始盘山了，弯多弯急，新手司机小心 #路况,可穿插踩坑提醒字幕
S004,Day 1,10:15,四姑娘山,幕后,摄影师工作瞬间,中景,10-20,【避坑】沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,,轻快鼓点 · 加旁白警示,124.9km,餐饮¥318；门票¥150,,沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,可穿插踩坑提醒字幕
S005,Day 1,10:15,四姑娘山,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点 · 加旁白警示,124.9km,餐饮¥318；门票¥150,,沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,可穿插踩坑提醒字幕
S006,Day 1,13:10,堵车,车内,导航拥堵界面 + 表情,近景,5-10,【吐槽】堵车了，1 小时 50 分钟原地不动… ⚠继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,,诙谐/停顿 · 加重悬疑,131.0km,,均速40km/h｜路况1/5｜难度困难,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,可穿插踩坑提醒字幕；⭐4 出镜推荐；驾驶困难，拍慢动作/紧张感
S007,Day 1,13:10,堵车,航拍/高处,车流长镜头,远景,5-10,【吐槽】堵车了，1 小时 50 分钟原地不动… ⚠继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,,诙谐/停顿 · 加重悬疑,131.0km,,均速40km/h｜路况1/5｜难度困难,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,可穿插踩坑提醒字幕；⭐4 出镜推荐；驾驶困难，拍慢动作/紧张感
S008,Day 1,15:15,下午观景停留,车外,人车合影 / 标志性机位,广角,10-20,【感叹】终于到 下午观景停留，现场比照片还震撼！,,大气磅礴,197.8km,,,,
S009,Day 1,15:15,下午观景停留,手持,景物细节特写,近景/微距,5-10,（环境音）,,大气磅礴,197.8km,,,,
S010,Day 1,16:10,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,201.9km,,均速33km/h｜路况3/5｜难度中等,,
S011,Day 1,16:10,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,201.9km,,均速33km/h｜路况3/5｜难度中等,,
S012,Day 1,17:00,丹巴甲居藏寨,大堂,办理入住 / 门卡,中景,15-25,【口播】¥380/晚，给大家看看房间,,温暖舒缓 · 加旁白警示,214.2km,住宿¥380/晚；餐饮¥120；门票¥50；人均¥120,,晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐,可穿插踩坑提醒字幕；⭐4 出镜推荐
S013,Day 1,17:00,丹巴甲居藏寨,房间,一镜到底 Room Tour,手持,15-25,【口播】¥380/晚，给大家看看房间,,温暖舒缓 · 加旁白警示,214.2km,住宿¥380/晚；餐饮¥120；门票¥50；人均¥120,,晚餐吃的藏式石板烧，味道一般有点贵，人均120元，不推荐 #避坑 #晚餐,可穿插踩坑提醒字幕；⭐4 出镜推荐
S014,Day 1,20:30,拍照打卡,幕后,摄影师工作瞬间,中景,10-20,夜里看星空，无光污染，银河肉眼可见 #推荐 #拍照,,轻快鼓点,214.2km,,,,
S015,Day 1,20:30,拍照打卡,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,214.2km,,,,
S016,Day 1,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,,,,,如为大结局则换成总结
S017,Day 2,开场,当日开篇,车外/车内,2025-10-02 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 2 天，第 2 天｜2025-10-02｜全程 149.7km｜发现 2 处提醒｜拥堵 …，今日需注意 2 处坑点,标题卡,激昂 / 清新,,,,,开头可放当日最震撼镜头做钩子
S018,Day 2,08:00,丹巴甲居藏寨,幕后,摄影师工作瞬间,中景,10-20,早起拍藏寨日出，晨雾炊烟太美了 #拍照 #推荐,,轻快鼓点,214.2km,,,,
S019,Day 2,08:00,丹巴甲居藏寨,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,214.2km,,,,
S020,Day 2,08:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】08:30 出发，今天的目标是…，已跑 223 公里,,轻快启程,223.2km,,,,
S021,Day 2,08:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】08:30 出发，今天的目标是…，已跑 223 公里,,轻快启程,223.2km,,,,
S022,Day 2,08:45,上午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,【避坑】折多山垭口4298米，风大温度低，注意保暖 #路况,,动感节奏 · 加旁白警示,232.1km,,均速45km/h｜路况4/5｜难度简单,折多山垭口4298米，风大温度低，注意保暖 #路况,可穿插踩坑提醒字幕
S023,Day 2,08:45,上午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏 · 加旁白警示,232.1km,,均速45km/h｜路况4/5｜难度简单,折多山垭口4298米，风大温度低，注意保暖 #路况,可穿插踩坑提醒字幕
S024,Day 2,10:50,新都桥,车外,人车合影 / 标志性机位,广角,10-20,【感叹】终于到 新都桥，现场比照片还震撼！,,大气磅礴 · 加旁白警示,302.1km,,,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元,可穿插踩坑提醒字幕
S025,Day 2,10:50,新都桥,手持,景物细节特写,近景/微距,5-10,（环境音）,,大气磅礴 · 加旁白警示,302.1km,,,折多山垭口停车要停正规停车场，别停路边会被贴罚单 #避坑 停车费20元,可穿插踩坑提醒字幕
S026,Day 2,11:30,中午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,302.1km,,路况1/5｜难度地狱,,驾驶地狱，拍慢动作/紧张感
S027,Day 2,11:30,中午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,302.1km,,路况1/5｜难度地狱,,驾驶地狱，拍慢动作/紧张感
S028,Day 2,11:45,新都桥,桌面,菜品全景 + 特写,俯拍,8-12,【口播】干饭人干饭魂，人均约 60,,轻松治愈,302.1km,餐饮¥60；人均¥60,,,⭐4 出镜推荐
S029,Day 2,13:30,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,新都桥十里画廊真的名不虚传，处处都是Windows桌面 #推荐 #拍照,,动感节奏,314.5km,,均速62km/h｜路况5/5｜难度简单,,
S030,Day 2,13:30,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,314.5km,,均速62km/h｜路况5/5｜难度简单,,
S031,Day 2,15:00,康定,环境,餐厅环境 / 夜市烟火,广角,8-12,【口播】干饭人干饭魂，人均约 90,,市井烟火,363.9km,住宿¥420/晚；餐饮¥90；人均¥90,,,⭐4 出镜推荐
S032,Day 2,21:00,晚餐,环境,餐厅环境 / 夜市烟火,广角,8-12,【口播】干饭人干饭魂，尝尝当地特色,,市井烟火,363.9km,,,,⭐4 出镜推荐
S033,Day 2,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,,,,,如为大结局则换成总结
S034,Day 3,开场,当日开篇,车外/车内,2025-10-03 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 3 天，第 3 天｜2025-10-03｜全程 178.0km｜发现 0 处提醒｜拥堵 …,标题卡,激昂 / 清新,,,,,开头可放当日最震撼镜头做钩子
S035,Day 3,07:45,康定,环境,服务区快速扫镜,平移,5-10,,,短暂留白,363.9km,过路¥158,,,⭐4 出镜推荐
S036,Day 3,08:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】08:30 出发，今天的目标是…，已跑 390 公里,,轻快启程,389.8km,,均速62km/h｜路况5/5｜难度简单,,
S037,Day 3,08:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】08:30 出发，今天的目标是…，已跑 390 公里,,轻快启程,389.8km,,均速62km/h｜路况5/5｜难度简单,,
S038,Day 3,11:30,午餐,桌面,菜品全景 + 特写,俯拍,8-12,【口播】干饭人干饭魂，尝尝当地特色,,轻松治愈,519.7km,,,,⭐4 出镜推荐
S039,Day 3,13:10,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,,,动感节奏,522.9km,,均速22km/h｜路况2/5｜难度困难,,驾驶困难，拍慢动作/紧张感
S040,Day 3,13:10,下午行驶,副驾机位,驾驶员侧面镜头,中景,5-8,,,动感节奏,522.9km,,均速22km/h｜路况2/5｜难度困难,,驾驶困难，拍慢动作/紧张感
S041,Day 3,14:20,成都,环境,服务区快速扫镜,平移,5-10,,,短暂留白,541.8km,,,,⭐4 出镜推荐
S042,Day 3,收尾,当日收束,延时/日落,当日精选镜头蒙太奇 + 明日预告,快剪,10-15,【字幕】未完待续…,当日最佳片段,温馨 / 悬念,,,,,如为大结局则换成总结
