分镜号,天数,时间,段落,场景,画面内容,景别/机位,预计时长(秒),旁白/台词提示,画面参考,BGM氛围,累计里程,费用提示,路况/评分,踩坑提醒,拍摄重点/备注
S001,Day 1,开场,当日开篇,车外/车内,2025-10-01 开场标题卡 + 车辆点火空镜,混合,5-8,【旁白】第 1 天，第 1 天｜2025-10-01｜里程 214.2km｜纯驾驶 4 小时 55 …，今日驾驶难度 困难,标题卡,激昂 / 清新,,,,,开头可放当日最震撼镜头做钩子
S002,Day 1,07:30,早晨出发,车内,收拾行李 / 出发口播,第一人称视角,5-10,【口播】07:30 出发，今天的目标是…,,轻快启程 · 硬核引擎声,,油费¥420；过路¥65,均速48km/h｜路况4/5｜难度简单,开始盘山了，弯多弯急，新手司机小心 #路况,可穿插踩坑提醒字幕；⭐4 出镜推荐
S003,Day 1,07:30,早晨出发,车外,车辆启动驶出车位,广角远景,5-10,【口播】07:30 出发，今天的目标是…,,轻快启程 · 硬核引擎声,,油费¥420；过路¥65,均速48km/h｜路况4/5｜难度简单,开始盘山了，弯多弯急，新手司机小心 #路况,可穿插踩坑提醒字幕；⭐4 出镜推荐
S004,Day 1,10:15,四姑娘山,幕后,摄影师工作瞬间,中景,10-20,到四姑娘山镇了，找了个观景台停，太震撼！ #拍照 云海雪山尽收眼底,,轻快鼓点,124.9km,餐饮¥168；门票¥150,,沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,可穿插踩坑提醒字幕
S005,Day 1,10:15,四姑娘山,成品插入,实拍画面 B-roll,空镜,5-10,,,轻快鼓点,124.9km,餐饮¥168；门票¥150,,沟里有很多拍照点，红杉林、布达拉峰都很棒，注意防晒紫外线强！ #避坑,可穿插踩坑提醒字幕
S006,Day 1,13:10,堵车,车内,导航拥堵界面 + 表情,近景,5-10,【吐槽】堵车了，1 小时 50 分钟原地不动… ⚠继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,,诙谐/停顿,131.0km,,均速40km/h｜路况1/5｜难度困难,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,可穿插踩坑提醒字幕；⭐4 出镜推荐；驾驶困难，拍慢动作/紧张感
S007,Day 1,13:10,堵车,航拍/高处,车流长镜头,远景,5-10,【吐槽】堵车了，1 小时 50 分钟原地不动… ⚠继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,,诙谐/停顿,131.0km,,均速40km/h｜路况1/5｜难度困难,继续往丹巴方向，路窄弯多，有一段落石区注意快速通过 #危险 #避坑,可穿插踩坑提醒字幕；⭐4 出镜推荐；驾驶困难，拍慢动作/紧张感
S008,Day 1,15:15,下午观景停留,车外,人车合影 / 标志性机位,广角,10-20,【测评】下午观景停留 打 4 分,,大气磅礴,197.8km,,,,⭐4 出镜推荐
S009,Day 1,15:15,下午观景停留,手持,景物细节特写,近景/微距,5-10,（环境音）,,大气磅礴,197.8km,,,,⭐4 出镜推荐
S010,Day 1,16:10,下午行驶,车载机位,路面空镜 / 风光掠影,前进视角,8-15,【测评】路况 3/5，难度 中等,,动感节奏 · 硬核引擎声,201.9km,,均速33km/h｜路况3/5｜难度中等,,⭐4 出镜推荐
